Time,ProductIDType,ProductID,PV01,Quantity
12/26/2024 23:45:32.592,CUSIP,91282CFY2,0.037600,5000000
12/26/2024 23:45:32.592,Bucketed Sector,Belly,0.048585,13000000
12/26/2024 23:45:32.592,CUSIP,91282CLW9,0.063700,5000000
12/26/2024 23:45:32.592,Bucketed Sector,Belly,0.050600,15000000
12/26/2024 23:45:32.592,CUSIP,912810RJ9,0.119500,9000000
12/26/2024 23:45:32.592,CUSIP,912810UE6,0.201900,9000000
12/26/2024 23:45:32.592,Bucketed Sector,LongEnd,0.201900,9000000
12/26/2024 23:45:32.592,CUSIP,912828YU8,0.018500,9000000
12/26/2024 23:45:32.592,Bucketed Sector,FrontEnd,0.021179,14000000
12/26/2024 23:45:32.592,CUSIP,91282CAY7,0.026000,9000000
12/26/2024 23:45:32.592,Bucketed Sector,FrontEnd,0.022250,18000000
12/26/2024 23:45:32.592,CUSIP,91282CDJ7,0.050500,9000000
12/26/2024 23:45:32.592,Bucketed Sector,Belly,0.050579,19000000
12/26/2024 23:45:32.592,CUSIP,91282CFY2,0.037600,9000000
12/26/2024 23:45:32.592,Bucketed Sector,Belly,0.048322,23000000
12/26/2024 23:45:32.592,CUSIP,91282CLW9,0.063700,9000000
12/26/2024 23:45:32.592,Bucketed Sector,Belly,0.050600,27000000
12/26/2024 23:45:32.592,CUSIP,912810RJ9,0.119500,10000000
12/26/2024 23:45:32.592,CUSIP,912810UE6,0.201900,10000000
12/26/2024 23:45:32.592,Bucketed Sector,LongEnd,0.201900,10000000
12/26/2024 23:45:32.592,CUSIP,912828YU8,0.018500,10000000
12/26/2024 23:45:32.592,Bucketed Sector,FrontEnd,0.022053,19000000
12/26/2024 23:45:32.592,CUSIP,91282CAY7,0.026000,10000000
12/26/2024 23:45:32.592,Bucketed Sector,FrontEnd,0.022250,20000000
12/26/2024 23:45:32.592,CUSIP,91282CDJ7,0.050500,10000000
12/26/2024 23:45:32.592,Bucketed Sector,Belly,0.050596,28000000
12/26/2024 23:45:32.592,CUSIP,91282CFY2,0.037600,10000000
12/26/2024 23:45:32.592,Bucketed Sector,Belly,0.050148,29000000
12/26/2024 23:45:32.592,CUSIP,91282CLW9,0.063700,10000000
12/26/2024 23:45:32.592,Bucketed Sector,Belly,0.050600,30000000
12/26/2024 23:45:32.593,CUSIP,912810RJ9,0.119500,15000000
12/26/2024 23:45:32.593,CUSIP,912810UE6,0.201900,15000000
12/26/2024 23:45:32.593,Bucketed Sector,LongEnd,0.201900,15000000
12/26/2024 23:45:32.593,CUSIP,912828YU8,0.018500,15000000
12/26/2024 23:45:32.593,Bucketed Sector,FrontEnd,0.021500,25000000
12/26/2024 23:45:32.593,CUSIP,91282CAY7,0.026000,15000000
12/26/2024 23:45:32.593,Bucketed Sector,FrontEnd,0.022250,30000000
12/26/2024 23:45:32.593,CUSIP,91282CDJ7,0.050500,15000000
12/26/2024 23:45:32.593,Bucketed Sector,Belly,0.050586,35000000
12/26/2024 23:45:32.593,CUSIP,91282CFY2,0.037600,15000000
12/26/2024 23:45:32.593,Bucketed Sector,Belly,0.048962,40000000
12/26/2024 23:45:32.593,CUSIP,91282CLW9,0.063700,15000000
12/26/2024 23:45:32.593,Bucketed Sector,Belly,0.050600,45000000
12/26/2024 23:45:32.593,CUSIP,912810RJ9,0.119500,15000000
12/26/2024 23:45:32.593,CUSIP,912810UE6,0.201900,15000000
12/26/2024 23:45:32.593,Bucketed Sector,LongEnd,0.201900,15000000
12/26/2024 23:45:32.593,CUSIP,912828YU8,0.018500,15000000
12/26/2024 23:45:32.593,Bucketed Sector,FrontEnd,0.022250,30000000
12/26/2024 23:45:32.593,CUSIP,91282CAY7,0.026000,15000000
12/26/2024 23:45:32.593,Bucketed Sector,FrontEnd,0.022250,30000000
12/26/2024 23:45:32.593,CUSIP,91282CDJ7,0.050500,15000000
12/26/2024 23:45:32.593,Bucketed Sector,Belly,0.050600,45000000
12/26/2024 23:45:32.593,CUSIP,91282CFY2,0.037600,15000000
12/26/2024 23:45:32.593,Bucketed Sector,Belly,0.050600,45000000
12/26/2024 23:45:32.593,CUSIP,91282CLW9,0.063700,15000000
12/26/2024 23:45:32.593,Bucketed Sector,Belly,0.050600,45000000
