BondIDType,BondID,Price,Spread
CUSIP,91282CFY2,99-056,0-00+
CUSIP,91282CLW9,99-056,0-00+
CUSIP,912810RJ9,99-057,0-002
CUSIP,912810UE6,99-057,0-002
CUSIP,912828YU8,99-057,0-002
CUSIP,91282CAY7,99-057,0-002
CUSIP,91282CDJ7,99-057,0-002
CUSIP,91282CFY2,99-057,0-002
CUSIP,91282CLW9,99-057,0-002
CUSIP,912810RJ9,99-060,0-00+
CUSIP,912810UE6,99-060,0-00+
CUSIP,912828YU8,99-060,0-00+
CUSIP,91282CAY7,99-060,0-00+
CUSIP,91282CDJ7,99-060,0-00+
CUSIP,91282CFY2,99-060,0-00+
CUSIP,91282CLW9,99-060,0-00+
CUSIP,912810RJ9,99-061,0-002
CUSIP,912810UE6,99-061,0-002
CUSIP,912828YU8,99-061,0-002
CUSIP,91282CAY7,99-061,0-002
CUSIP,91282CDJ7,99-061,0-002
CUSIP,91282CFY2,99-061,0-002
CUSIP,91282CLW9,99-061,0-002
CUSIP,912810RJ9,99-062,0-00+
CUSIP,912810UE6,99-062,0-00+
CUSIP,912828YU8,99-062,0-00+
CUSIP,91282CAY7,99-062,0-00+
CUSIP,91282CDJ7,99-062,0-00+
CUSIP,91282CFY2,99-062,0-00+
CUSIP,91282CLW9,99-062,0-00+
CUSIP,912810RJ9,99-063,0-002
CUSIP,912810UE6,99-063,0-002
CUSIP,912828YU8,99-063,0-002
CUSIP,91282CAY7,99-063,0-002
CUSIP,91282CDJ7,99-063,0-002
CUSIP,91282CFY2,99-063,0-002
CUSIP,91282CLW9,99-063,0-002
CUSIP,912810RJ9,99-06+,0-00+
CUSIP,912810UE6,99-06+,0-00+
CUSIP,912828YU8,99-06+,0-00+
CUSIP,91282CAY7,99-06+,0-00+
CUSIP,91282CDJ7,99-06+,0-00+
CUSIP,91282CFY2,99-06+,0-00+
CUSIP,91282CLW9,99-06+,0-00+
CUSIP,912810RJ9,99-065,0-002
CUSIP,912810UE6,99-065,0-002
CUSIP,912828YU8,99-065,0-002
CUSIP,91282CAY7,99-065,0-002
CUSIP,91282CDJ7,99-065,0-002
CUSIP,91282CFY2,99-065,0-002
CUSIP,91282CLW9,99-065,0-002
CUSIP,912810RJ9,99-066,0-00+
CUSIP,912810UE6,99-066,0-00+
CUSIP,912828YU8,99-066,0-00+
CUSIP,91282CAY7,99-066,0-00+
CUSIP,91282CDJ7,99-066,0-00+
CUSIP,91282CFY2,99-066,0-00+
CUSIP,91282CLW9,99-066,0-00+
CUSIP,912810RJ9,99-067,0-002
CUSIP,912810UE6,99-067,0-002
CUSIP,912828YU8,99-067,0-002
CUSIP,91282CAY7,99-067,0-002
CUSIP,91282CDJ7,99-067,0-002
CUSIP,91282CFY2,99-067,0-002
CUSIP,91282CLW9,99-067,0-002
CUSIP,912810RJ9,99-070,0-00+
CUSIP,912810UE6,99-070,0-00+
CUSIP,912828YU8,99-070,0-00+
CUSIP,91282CAY7,99-070,0-00+
CUSIP,91282CDJ7,99-070,0-00+
CUSIP,91282CFY2,99-070,0-00+
CUSIP,91282CLW9,99-070,0-00+
CUSIP,912810RJ9,99-071,0-002
CUSIP,912810UE6,99-071,0-002
CUSIP,912828YU8,99-071,0-002
CUSIP,91282CAY7,99-071,0-002
CUSIP,91282CDJ7,99-071,0-002
CUSIP,91282CFY2,99-071,0-002
CUSIP,91282CLW9,99-071,0-002
CUSIP,912810RJ9,99-072,0-00+
CUSIP,912810UE6,99-072,0-00+
CUSIP,912828YU8,99-072,0-00+
CUSIP,91282CAY7,99-072,0-00+
CUSIP,91282CDJ7,99-072,0-00+
CUSIP,91282CFY2,99-072,0-00+
CUSIP,91282CLW9,99-072,0-00+
CUSIP,912810RJ9,99-073,0-002
CUSIP,912810UE6,99-073,0-002
CUSIP,912828YU8,99-073,0-002
CUSIP,91282CAY7,99-073,0-002
CUSIP,91282CDJ7,99-073,0-002
CUSIP,91282CFY2,99-073,0-002
CUSIP,91282CLW9,99-073,0-002
CUSIP,912810RJ9,99-07+,0-00+
CUSIP,912810UE6,99-07+,0-00+
CUSIP,912828YU8,99-07+,0-00+
CUSIP,91282CAY7,99-07+,0-00+
CUSIP,91282CDJ7,99-07+,0-00+
CUSIP,91282CFY2,99-07+,0-00+
CUSIP,91282CLW9,99-07+,0-00+
CUSIP,912810RJ9,99-075,0-002
CUSIP,912810UE6,99-075,0-002
CUSIP,912828YU8,99-075,0-002
CUSIP,91282CAY7,99-075,0-002
CUSIP,91282CDJ7,99-075,0-002
CUSIP,91282CFY2,99-075,0-002
CUSIP,91282CLW9,99-075,0-002
CUSIP,912810RJ9,99-076,0-00+
CUSIP,912810UE6,99-076,0-00+
CUSIP,912828YU8,99-076,0-00+
CUSIP,91282CAY7,99-076,0-00+
CUSIP,91282CDJ7,99-076,0-00+
CUSIP,91282CFY2,99-076,0-00+
CUSIP,91282CLW9,99-076,0-00+
CUSIP,912810RJ9,99-077,0-002
CUSIP,912810UE6,99-077,0-002
CUSIP,912828YU8,99-077,0-002
CUSIP,91282CAY7,99-077,0-002
CUSIP,91282CDJ7,99-077,0-002
CUSIP,91282CFY2,99-077,0-002
CUSIP,91282CLW9,99-077,0-002
CUSIP,912810RJ9,99-080,0-00+
CUSIP,912810UE6,99-080,0-00+
CUSIP,912828YU8,99-080,0-00+
CUSIP,91282CAY7,99-080,0-00+
CUSIP,91282CDJ7,99-080,0-00+
CUSIP,91282CFY2,99-080,0-00+
CUSIP,91282CLW9,99-080,0-00+
CUSIP,912810RJ9,99-081,0-002
CUSIP,912810UE6,99-081,0-002
CUSIP,912828YU8,99-081,0-002
CUSIP,91282CAY7,99-081,0-002
CUSIP,91282CDJ7,99-081,0-002
CUSIP,91282CFY2,99-081,0-002
CUSIP,91282CLW9,99-081,0-002
CUSIP,912810RJ9,99-082,0-00+
CUSIP,912810UE6,99-082,0-00+
CUSIP,912828YU8,99-082,0-00+
CUSIP,91282CAY7,99-082,0-00+
CUSIP,91282CDJ7,99-082,0-00+
CUSIP,91282CFY2,99-082,0-00+
CUSIP,91282CLW9,99-082,0-00+
CUSIP,912810RJ9,99-083,0-002
CUSIP,912810UE6,99-083,0-002
CUSIP,912828YU8,99-083,0-002
CUSIP,91282CAY7,99-083,0-002
CUSIP,91282CDJ7,99-083,0-002
CUSIP,91282CFY2,99-083,0-002
CUSIP,91282CLW9,99-083,0-002
CUSIP,912810RJ9,99-08+,0-00+
CUSIP,912810UE6,99-08+,0-00+
CUSIP,912828YU8,99-08+,0-00+
CUSIP,91282CAY7,99-08+,0-00+
CUSIP,91282CDJ7,99-08+,0-00+
CUSIP,91282CFY2,99-08+,0-00+
CUSIP,91282CLW9,99-08+,0-00+
CUSIP,912810RJ9,99-085,0-002
CUSIP,912810UE6,99-085,0-002
CUSIP,912828YU8,99-085,0-002
CUSIP,91282CAY7,99-085,0-002
CUSIP,91282CDJ7,99-085,0-002
CUSIP,91282CFY2,99-085,0-002
CUSIP,91282CLW9,99-085,0-002
CUSIP,912810RJ9,99-086,0-00+
CUSIP,912810UE6,99-086,0-00+
CUSIP,912828YU8,99-086,0-00+
CUSIP,91282CAY7,99-086,0-00+
CUSIP,91282CDJ7,99-086,0-00+
CUSIP,91282CFY2,99-086,0-00+
CUSIP,91282CLW9,99-086,0-00+
CUSIP,912810RJ9,99-087,0-002
CUSIP,912810UE6,99-087,0-002
CUSIP,912828YU8,99-087,0-002
CUSIP,91282CAY7,99-087,0-002
CUSIP,91282CDJ7,99-087,0-002
CUSIP,91282CFY2,99-087,0-002
CUSIP,91282CLW9,99-087,0-002
CUSIP,912810RJ9,99-090,0-00+
CUSIP,912810UE6,99-090,0-00+
CUSIP,912828YU8,99-090,0-00+
CUSIP,91282CAY7,99-090,0-00+
CUSIP,91282CDJ7,99-090,0-00+
CUSIP,91282CFY2,99-090,0-00+
CUSIP,91282CLW9,99-090,0-00+
CUSIP,912810RJ9,99-091,0-002
CUSIP,912810UE6,99-091,0-002
CUSIP,912828YU8,99-091,0-002
CUSIP,91282CAY7,99-091,0-002
CUSIP,91282CDJ7,99-091,0-002
CUSIP,91282CFY2,99-091,0-002
CUSIP,91282CLW9,99-091,0-002
CUSIP,912810RJ9,99-092,0-00+
CUSIP,912810UE6,99-092,0-00+
CUSIP,912828YU8,99-092,0-00+
CUSIP,91282CAY7,99-092,0-00+
CUSIP,91282CDJ7,99-092,0-00+
CUSIP,91282CFY2,99-092,0-00+
CUSIP,91282CLW9,99-092,0-00+
CUSIP,912810RJ9,99-093,0-002
CUSIP,912810UE6,99-093,0-002
CUSIP,912828YU8,99-093,0-002
CUSIP,91282CAY7,99-093,0-002
CUSIP,91282CDJ7,99-093,0-002
CUSIP,91282CFY2,99-093,0-002
CUSIP,91282CLW9,99-093,0-002
CUSIP,912810RJ9,99-09+,0-00+
CUSIP,912810UE6,99-09+,0-00+
CUSIP,912828YU8,99-09+,0-00+
CUSIP,91282CAY7,99-09+,0-00+
CUSIP,91282CDJ7,99-09+,0-00+
CUSIP,91282CFY2,99-09+,0-00+
CUSIP,91282CLW9,99-09+,0-00+
CUSIP,912810RJ9,99-095,0-002
CUSIP,912810UE6,99-095,0-002
CUSIP,912828YU8,99-095,0-002
CUSIP,91282CAY7,99-095,0-002
CUSIP,91282CDJ7,99-095,0-002
CUSIP,91282CFY2,99-095,0-002
CUSIP,91282CLW9,99-095,0-002
CUSIP,912810RJ9,99-096,0-00+
CUSIP,912810UE6,99-096,0-00+
CUSIP,912828YU8,99-096,0-00+
CUSIP,91282CAY7,99-096,0-00+
CUSIP,91282CDJ7,99-096,0-00+
CUSIP,91282CFY2,99-096,0-00+
CUSIP,91282CLW9,99-096,0-00+
CUSIP,912810RJ9,99-097,0-002
CUSIP,912810UE6,99-097,0-002
CUSIP,912828YU8,99-097,0-002
CUSIP,91282CAY7,99-097,0-002
CUSIP,91282CDJ7,99-097,0-002
CUSIP,91282CFY2,99-097,0-002
CUSIP,91282CLW9,99-097,0-002
CUSIP,912810RJ9,99-100,0-00+
CUSIP,912810UE6,99-100,0-00+
CUSIP,912828YU8,99-100,0-00+
CUSIP,91282CAY7,99-100,0-00+
CUSIP,91282CDJ7,99-100,0-00+
CUSIP,91282CFY2,99-100,0-00+
CUSIP,91282CLW9,99-100,0-00+
CUSIP,912810RJ9,99-101,0-002
CUSIP,912810UE6,99-101,0-002
CUSIP,912828YU8,99-101,0-002
CUSIP,91282CAY7,99-101,0-002
CUSIP,91282CDJ7,99-101,0-002
CUSIP,91282CFY2,99-101,0-002
CUSIP,91282CLW9,99-101,0-002
CUSIP,912810RJ9,99-102,0-00+
CUSIP,912810UE6,99-102,0-00+
CUSIP,912828YU8,99-102,0-00+
CUSIP,91282CAY7,99-102,0-00+
CUSIP,91282CDJ7,99-102,0-00+
CUSIP,91282CFY2,99-102,0-00+
CUSIP,91282CLW9,99-102,0-00+
CUSIP,912810RJ9,99-103,0-002
CUSIP,912810UE6,99-103,0-002
CUSIP,912828YU8,99-103,0-002
CUSIP,91282CAY7,99-103,0-002
CUSIP,91282CDJ7,99-103,0-002
CUSIP,91282CFY2,99-103,0-002
CUSIP,91282CLW9,99-103,0-002
CUSIP,912810RJ9,99-10+,0-00+
CUSIP,912810UE6,99-10+,0-00+
CUSIP,912828YU8,99-10+,0-00+
CUSIP,91282CAY7,99-10+,0-00+
CUSIP,91282CDJ7,99-10+,0-00+
CUSIP,91282CFY2,99-10+,0-00+
CUSIP,91282CLW9,99-10+,0-00+
CUSIP,912810RJ9,99-105,0-002
CUSIP,912810UE6,99-105,0-002
CUSIP,912828YU8,99-105,0-002
CUSIP,91282CAY7,99-105,0-002
CUSIP,91282CDJ7,99-105,0-002
CUSIP,91282CFY2,99-105,0-002
CUSIP,91282CLW9,99-105,0-002
CUSIP,912810RJ9,99-106,0-00+
CUSIP,912810UE6,99-106,0-00+
CUSIP,912828YU8,99-106,0-00+
CUSIP,91282CAY7,99-106,0-00+
CUSIP,91282CDJ7,99-106,0-00+
CUSIP,91282CFY2,99-106,0-00+
CUSIP,91282CLW9,99-106,0-00+
CUSIP,912810RJ9,99-107,0-002
CUSIP,912810UE6,99-107,0-002
CUSIP,912828YU8,99-107,0-002
CUSIP,91282CAY7,99-107,0-002
CUSIP,91282CDJ7,99-107,0-002
CUSIP,91282CFY2,99-107,0-002
CUSIP,91282CLW9,99-107,0-002
CUSIP,912810RJ9,99-110,0-00+
CUSIP,912810UE6,99-110,0-00+
CUSIP,912828YU8,99-110,0-00+
CUSIP,91282CAY7,99-110,0-00+
CUSIP,91282CDJ7,99-110,0-00+
CUSIP,91282CFY2,99-110,0-00+
CUSIP,91282CLW9,99-110,0-00+
CUSIP,912810RJ9,99-111,0-002
CUSIP,912810UE6,99-111,0-002
CUSIP,912828YU8,99-111,0-002
CUSIP,91282CAY7,99-111,0-002
CUSIP,91282CDJ7,99-111,0-002
CUSIP,91282CFY2,99-111,0-002
CUSIP,91282CLW9,99-111,0-002
CUSIP,912810RJ9,99-112,0-00+
CUSIP,912810UE6,99-112,0-00+
CUSIP,912828YU8,99-112,0-00+
CUSIP,91282CAY7,99-112,0-00+
CUSIP,91282CDJ7,99-112,0-00+
CUSIP,91282CFY2,99-112,0-00+
CUSIP,91282CLW9,99-112,0-00+
CUSIP,912810RJ9,99-113,0-002
CUSIP,912810UE6,99-113,0-002
CUSIP,912828YU8,99-113,0-002
CUSIP,91282CAY7,99-113,0-002
CUSIP,91282CDJ7,99-113,0-002
CUSIP,91282CFY2,99-113,0-002
CUSIP,91282CLW9,99-113,0-002
CUSIP,912810RJ9,99-11+,0-00+
CUSIP,912810UE6,99-11+,0-00+
CUSIP,912828YU8,99-11+,0-00+
CUSIP,91282CAY7,99-11+,0-00+
CUSIP,91282CDJ7,99-11+,0-00+
